"      PRINCIPAL EXPORTS: VOLUME, VALUE AND UNIT PRICES",,,,,,,,,,
,,,,,,,,,,
,,,Coffee,,,Tea,,,Horticulture,
,,,,,,,,,,
,,Volume,Value,Average,Volume,Value,Average,Volume,Value,Average
,,in,in,Shs per,in,in,Shs per,in,in,Shs per
Year,Month,Tonnes,Shs m,Tonne,Tonnes,Shs m,Tonne,Tonnes,Shs m,Tonne
2018,7,"5,016.06","2,525.10","503,402.98","45,242.32","12,226.12","270,236.39","48,833.43","10,687.42","218,854.57"
2018,8,"3,105.48","1,572.17","506,258.18","38,022.53","9,919.47","260,884.06","42,559.37","8,758.05","205,784.36"
2018,9,"2,675.92","1,174.08","438,757.82","40,267.54","10,478.62","260,225.09","36,107.71","9,817.78","271,902.49"
2018,10,"3,642.37","1,499.46","411,671.54","43,893.85","11,327.26","258,060.23","35,555.45","9,320.82","262,148.78"
2018,11,"4,842.72","1,775.08","366,545.03","44,107.54","11,014.55","249,720.37","31,654.70","7,801.79","246,465.35"
2018,12,"2,397.53",932.61,"388,986.53","38,680.96","9,781.31","252,871.36","29,185.44","8,089.82","277,186.75"
2019,1,"3,539.25","1,531.19","432,632.21","48,622.81","11,831.30","243,328.18","38,406.88","9,575.50","249,317.38"
2019,2,"4,677.09","1,910.22","408,420.86","41,026.62","9,638.24","234,926.39","39,985.55","10,219.71","255,585.11"
2019,3,"4,516.60","2,298.02","508,794.50","42,457.17","9,910.41","233,421.28","42,126.47","9,893.71","234,857.22"
2019,4,"4,822.33","2,521.75","522,931.80","36,883.92","8,630.54","233,991.88","32,822.84","8,288.36","252,517.95"
2019,5,"5,576.28","2,751.65","493,455.57","36,993.68","9,292.80","251,199.64","25,701.96","6,298.33","245,052.71"
2019,6,"4,730.08","1,993.58","421,468.23","29,355.17","7,154.11","243,708.63","41,059.15","11,209.32","273,004.28"
2019,7,"5,199.91","1,762.98","339,040.43","33,657.14","7,788.40","231,404.00","32,995.80","8,275.06","250,791.33"
2019,8,"4,068.23","1,492.91","366,967.68","41,275.96","9,458.09","229,142.82","36,471.84","8,636.36","236,795.40"
2019,9,"3,395.64","1,240.92","365,446.32","36,393.56","8,481.60","233,052.19","31,924.82","7,147.43","223,883.28"
2019,10,"4,221.23","1,464.80","347,007.62","45,661.48","11,113.27","243,384.01","34,815.75","8,119.98","233,227.33"
2019,11,"3,839.63","1,258.58","327,787.93","43,650.47","10,735.39","245,939.84","37,303.25","8,629.18","231,325.07"
2019,12,"1,990.27",681.47,"342,401.30","39,312.40","9,483.99","241,246.67","27,114.35","6,635.73","244,731.35"
2020,1,"2,711.10","1,033.21","381,103.73","48,770.49","11,452.01","234,814.33","41,838.30","8,440.20","201,733.84"
2020,2,"3,355.26","1,751.84","522,116.44","47,569.72","11,021.86","231,699.04","43,637.41","9,958.00","228,198.58"
2020,3,"4,838.10","2,514.24","519,675.20","51,440.71","11,665.48","226,775.19","46,299.62","9,972.02","215,380.13"
2020,4,"4,599.54","2,627.59","571,273.01","57,949.33","13,216.71","228,073.50","36,857.98","7,675.41","208,242.79"
2020,5,"4,403.00","2,299.07","522,159.24","48,594.07","11,289.33","232,319.13","40,415.89","8,355.62","206,741.00"
2020,6,"5,509.52","2,992.45","543,141.34","46,399.01","10,293.00","221,836.67","36,639.97","8,239.69","224,882.66"
2020,7,"3,717.78","1,872.79","503,737.82","46,850.57","10,013.82","213,739.51","46,924.28","9,301.69","198,227.64"
2020,8,"3,341.11","1,545.34","462,522.48","47,034.93","10,269.11","218,329.54","46,347.99","9,773.34","210,868.59"
2020,9,"3,581.48","1,684.37","470,298.53","44,724.70","10,199.89","228,059.45","44,353.28","9,493.25","214,037.23"
2020,10,"2,930.74","1,387.85","473,548.36","43,655.91","9,937.34","227,628.67","67,083.30","11,179.49","166,650.79"
2020,11,"3,733.48","1,883.97","504,614.48","46,352.88","10,610.96","228,916.96","42,028.94","9,519.54","226,499.56"
2020,12,"2,645.47","1,392.71","526,450.95","46,166.62","10,300.58","223,117.53","53,150.90","11,278.55","212,198.66"
2021,1,"2,210.60","1,380.63","624,548.46","48,811.79","11,378.64","233,112.63","45,340.39","11,054.99","243,822.16"
2021,2,"3,636.97","2,228.16","612,641.48","50,389.62","11,725.86","232,703.91","72,011.86","14,800.37","205,526.78"
2021,3,"6,269.08","4,654.00","742,373.60","53,846.76","12,704.53","235,938.72","62,808.66","13,514.91","215,175.83"
2021,4,"3,618.29","2,399.73","663,220.72","51,899.23","11,575.75","223,042.74","56,233.98","11,619.83","206,633.67"
2021,5,"4,788.46","3,138.02","655,329.43","50,041.59","11,070.79","221,231.82","51,306.75","11,435.15","222,878.09"
2021,6,"3,634.73","2,346.03","645,447.41","43,792.91","9,512.81","217,222.62","47,504.35","10,647.80","224,143.70"
2021,7,"2,891.46","1,863.14","644,359.14","43,813.12","9,195.40","209,877.76","50,931.98","10,595.66","208,035.58"
2021,8,"2,708.60","1,762.31","650,633.42","44,421.07","9,874.40","222,290.94","46,094.23","9,732.79","211,149.92"
2021,9,"2,633.26","1,813.94","688,857.56","36,307.66","8,565.59","235,916.84","46,225.53","9,898.07","214,125.73"
2021,10,"2,577.48","1,724.57","669,091.73","40,132.15","10,318.73","257,118.77","50,267.64","9,967.34","198,285.44"
2021,11,"2,426.37","1,875.94","773,149.54","45,192.76","12,132.01","268,450.28","44,906.84","10,507.14","233,976.45"
2021,12,"2,508.64","2,039.01","812,796.68","47,901.82","12,719.47","265,532.10","41,363.57","9,455.30","228,590.01"
2022,1,"3,474.82","2,721.26","783,136.32","45,792.33","12,642.48","276,082.90","46,358.72","10,330.24","222,832.82"
2022,2,"4,913.75","3,689.12","750,774.77","44,093.16","13,303.40","301,711.09","41,351.44","10,732.68","259,547.96"
2022,3,"4,409.46","3,578.34","811,513.74","46,083.29","13,568.47","294,433.62","49,557.36","11,377.20","229,576.51"
2022,4,"5,758.61","4,476.06","777,282.40","43,446.02","12,769.02","293,905.40","49,975.74","10,462.45","209,350.54"
2022,5,"5,903.41","4,877.93","826,289.24","47,380.14","13,776.91","290,773.86","49,516.59","11,833.22","238,974.85"
2022,6,"4,965.98","3,835.70","772,394.95","47,048.42","13,729.67","291,819.97","44,821.09","10,118.42","225,751.37"
2022,7,"5,410.02","3,980.87","735,833.76","45,547.92","13,452.76","295,354.09","51,772.42","9,941.35","192,020.22"
2022,8,"3,487.06","2,667.57","764,990.53","42,897.65","12,589.18","293,470.13","39,549.51","9,322.25","235,710.98"
2022,9,"3,339.61","2,471.76","740,133.82","48,280.24","14,164.79","293,386.79","41,634.78","8,860.34","212,811.02"
2022,10,"3,225.33","2,413.28","748,226.36","40,981.37","12,229.47","298,415.26","46,610.82","9,491.54","203,633.82"
2022,11,"3,891.54","2,519.06","647,316.86","51,417.90","16,009.62","311,362.71","33,961.07","8,814.94","259,560.04"
2022,12,"2,407.98","1,517.28","630,103.55","47,808.73","14,885.43","311,353.75","35,881.93","8,951.76","249,478.20"
2023,1,"2,153.69","1,350.34","626,987.26","44,556.08","13,519.65","303,429.87","50,627.99","9,989.30","197,307.75"
2023,2,"4,060.85","2,684.98","661,188.59","44,328.68","13,510.62","304,782.86","46,537.28","11,067.44","237,818.84"
2023,3,"5,750.19","4,099.69","712,965.20","55,316.71","16,216.54","293,158.14","61,935.68","11,418.37","184,358.52"
2023,4,"5,667.74","4,111.12","725,354.92","37,025.13","12,179.71","328,957.82","53,992.64","12,170.07","225,402.46"
2023,5,"6,447.50","4,839.14","750,543.97","48,229.28","16,176.45","335,407.23","52,346.35","12,790.87","244,350.70"
2023,6,"7,279.04","5,186.01","712,457.37","45,317.56","15,446.15","340,842.53","54,824.50","12,043.45","219,672.82"
2023,7,"6,325.09","4,368.48","690,659.88","39,943.62","12,910.37","323,214.93","65,440.55","12,512.15","191,198.66"
2023,8,"4,853.58","3,416.31","703,874.24","58,590.66","20,193.05","344,646.18","74,219.25","13,851.44","186,628.69"
2023,9,"3,221.56","2,255.48","700,120.74","48,752.22","17,254.77","353,927.95","64,740.20","13,011.65","200,982.47"
2023,10,"1,835.10","1,384.31","754,351.18","45,359.87","16,111.63","355,195.66","57,788.41","12,660.84","219,089.55"
2023,11,"1,946.83","1,607.71","825,811.00","49,509.13","17,767.98","358,882.92","50,340.31","11,288.29","224,239.51"
2023,12,"1,687.93","1,486.78","880,825.82","46,524.90","17,283.71","371,493.80","55,323.54","10,947.46","197,880.64"
2024,1,"3,017.35","2,413.71","799,944.56","51,187.58","18,267.60","356,875.66","54,387.40","12,232.45","224,913.35"
2024,2,"2,980.59","2,284.11","766,328.21","59,043.65","20,429.82","346,012.09","72,635.51","16,965.45","233,569.60"
2024,3,"4,485.65","3,528.04","786,516.43","59,599.15","19,070.04","319,971.69","81,123.16","15,928.47","196,349.25"
2024,4,"5,577.75","4,111.96","737,208.75","56,263.44","17,337.26","308,144.40","63,689.34","12,036.43","188,986.56"
2024,5,"4,908.98","3,747.46","763,388.60","51,575.28","15,610.13","302,666.93","83,760.06","12,876.50","153,730.82"
2024,6,"5,908.99","4,211.56","712,736.90","42,894.74","11,752.08","273,974.93","57,688.16","11,505.97","199,451.24"
2024,7,"7,137.56","5,037.44","705,765.78","54,305.88","15,518.53","285,761.43","66,311.09","13,485.67","203,369.73"
2024,8,"5,927.43","3,859.65","651,149.77","50,821.46","14,713.16","289,506.85","80,703.43","13,865.44","171,807.27"
2024,9,"5,218.91","3,561.24","682,372.43","51,935.51","14,395.84","277,186.77","73,928.40","13,918.86","188,274.91"
2024,10,"3,663.62","2,536.86","692,444.69","44,652.10","12,514.52","280,267.32","68,259.93","13,112.64","192,098.70"
2024,11,"4,478.72","3,089.31","689,774.53","53,544.18","15,546.36","290,346.38","57,235.52","11,445.05","199,964.02"
2024,12,"2,819.19","2,025.08","718,319.99","49,731.26","13,808.09","277,654.11","66,480.94","10,919.32","164,247.33"
